provincia,partido,localidad,poblacion,adsl,cablemodem,dial_up,fibra_optica,satelital,wireless,telefonia_fija,3g,4g,link_indec,latitud,longitud
salta,grl_jose_de_san_martin,pacara,217,NO,NO,NO,NO,NO,NO,NO,NO,NO,66056170,-22.4452723425454,-63.43543212618
salta,grl_jose_de_san_martin,padre_lozano,513,NO,NO,NO,NO,NO,NO,NO,NO,NO,66056180,-23.215724803759,-63.8426467906727
salta,grl_jose_de_san_martin,piquirenda,505,NO,NO,NO,SI,NO,NO,NO,NO,NO,66056190,-22.3335490812005,-63.7596847135861
salta,grl_jose_de_san_martin,profesor_salvador_mazza,18899,SI,NO,NO,SI,SI,NO,SI,SI,SI,66056200,-22.0542634419099,-63.6872829649674
salta,grl_jose_de_san_martin,recaredo,108,NO,NO,NO,NO,NO,NO,NO,NO,NO,66056080,-22.4497652091167,-63.8856192155364
salta,grl_jose_de_san_martin,tartagal,63196,SI,SI,NO,SI,SI,SI,SI,SI,SI,66056220,-22.5098645099451,-63.7970472996098
salta,grl_jose_de_san_martin,tobantirenda,849,NO,NO,NO,SI,NO,NO,NO,NO,NO,66056230,-22.13833247169,-63.7061819675909
salta,grl_jose_de_san_martin,tranquitas,1052,NO,NO,NO,NO,NO,NO,NO,NO,NO,66056240,-22.4076174158757,-63.7681399387898
salta,grl_jose_de_san_martin,yacuy,1686,NO,NO,NO,SI,NO,SI,NO,NO,SI,66056250,-22.3765769868638,-63.7654304903786
salta,guachipas,guachipas,2073,NO,NO,NO,SI,SI,SI,SI,NO,NO,66063010,-25.5235484724461,-65.5187644501144
salta,iruya,iruya,1523,NO,NO,NO,SI,NO,SI,NO,NO,NO,66070010,-22.7789158765788,-65.2063598136374
salta,iruya,isla_de_canas,1295,NO,NO,NO,NO,NO,SI,NO,NO,SI,66070020,-22.8864200252899,-64.6573757192202
salta,iruya,pueblo_viejo,155,NO,NO,NO,SI,NO,NO,NO,NO,NO,66070030,-22.8263430234688,-65.2018356755618
salta,la_caldera,la_caldera,2186,NO,NO,NO,SI,SI,SI,SI,SI,SI,66077010,-24.6049486234217,-65.3823377302988
santa_fe,san_justo,san_justo,21624,SI,SI,NO,SI,NO,SI,SI,SI,SI,82112130,-30.7908665162845,-60.5940368250334
santa_fe,san_justo,san_martin_norte,563,NO,NO,NO,NO,NO,SI,SI,NO,SI,82112140,-30.3493004076432,-60.3040548934806
santa_fe,san_justo,silva_est_abipones,360,NO,NO,NO,NO,NO,SI,NO,NO,NO,82112150,-30.4486399849806,-60.430070013139
santa_fe,san_justo,vera_y_pintado_est_guaranies,997,SI,SI,NO,SI,NO,SI,SI,NO,SI,82112160,-30.1436425790617,-60.3373530550458
santa_fe,san_justo,videla,2027,SI,NO,NO,SI,NO,SI,SI,NO,SI,82112170,-30.9465032627862,-60.6564412400796
santa_fe,san_lorenzo,aldao,587,NO,SI,NO,NO,NO,NO,SI,NO,NO,82119010,-32.7069853236032,-60.8179518202362
santa_fe,san_lorenzo,capitan_bermudez,29218,SI,SI,NO,SI,NO,NO,SI,SI,SI,82119020,-32.8282349449349,-60.7168207550494
santa_fe,san_lorenzo,carcarana,16277,SI,SI,NO,NO,NO,SI,SI,SI,SI,82119030,-32.8588281760163,-61.1523502197425
santa_fe,san_lorenzo,coronel_arnold,857,NO,NO,NO,SI,NO,NO,SI,NO,NO,82119040,-33.1066175391399,-60.9665015588484
santa_fe,san_lorenzo,fray_luis_beltran,15176,SI,SI,NO,SI,NO,NO,SI,SI,SI,82119050,-32.7855581880336,-60.7291236444004
buenos_aires,tres_de_febrero,ciudad_jardin_lomas_del_palomar,17794,SI,SI,NO,SI,NO,NO,SI,SI,SI,6840010,-34.5961197253917,-58.5965998962097
buenos_aires,tres_de_febrero,ciudadela,73939,SI,SI,SI,SI,SI,SI,SI,SI,SI,6840010,-34.6326965166188,-58.5424067827037
buenos_aires,tres_de_febrero,el_libertador,15270,SI,SI,NO,SI,NO,NO,SI,SI,SI,6840010,-34.5564986200599,-58.622337837699
buenos_aires,tres_de_febrero,jose_ingenieros,7300,SI,SI,NO,SI,NO,SI,SI,SI,SI,6840010,-34.6171528691842,-58.5342186326877
buenos_aires,tres_de_febrero,loma_hermosa,18152,SI,SI,NO,SI,NO,NO,SI,SI,SI,6840010,-34.5684066633166,-58.603081885803
buenos_aires,tres_de_febrero,martin_coronado,19326,SI,SI,NO,SI,NO,NO,SI,SI,SI,6840010,-34.5852038063892,-58.5918755543704
buenos_aires,tres_de_febrero,pablo_podesta,12990,SI,SI,NO,SI,NO,SI,SI,SI,SI,6840010,-34.5758246152249,-58.6202497472316
buenos_aires,tres_de_febrero,remedios_de_escalada,11987,SI,SI,NO,SI,NO,NO,SI,SI,SI,6840010,-34.5705752444729,-58.620118067161
santiago_del_estero,rivadavia,colonia_alpina,403,NO,SI,NO,NO,SI,SI,NO,NO,SI,86154010,-30.0328848601865,-61.9858847419354
santiago_del_estero,rivadavia,palo_negro,241,NO,NO,NO,SI,NO,SI,NO,SI,SI,86154020,-29.6498507669034,-62.0186380619386
santiago_del_estero,rivadavia,selva,2878,NO,SI,NO,SI,SI,SI,SI,SI,SI,86154030,-29.7411965865744,-61.9305030989562
santiago_del_estero,robles,beltran,6352,SI,NO,NO,NO,SI,SI,SI,SI,SI,86161010,-27.8529414386088,-63.9976109802064
santiago_del_estero,robles,colonia_el_simbolar,4197,NO,NO,NO,NO,SI,SI,NO,SI,SI,86161020,-27.7503159458049,-63.7954247865397
santiago_del_estero,robles,fernandez,12886,SI,NO,NO,SI,SI,SI,SI,SI,SI,86161030,-27.9258,-63.8961
