,provincia,partido,localidad,0256_mbps,05_mbps,0512_mbps,075_mbps,1_mbps,15_mbps,2_mbps,25_mbps,3_mbps,35_mbps,4_mbps,45_mbps,5_mbps,6_mbps,7_mbps,75_mbps,8_mbps,9_mbps,10_mbps,11_mbps,12_mbps,13_mbps,14_mbps,15_mbps,16_mbps,18_mbps,20_mbps,21_mbps,22_mbps,23_mbps,24_mbps,25_mbps,255_mbps,26_mbps,27_mbps,30_mbps,31_mbps,32_mbps,35_mbps,36_mbps,40_mbps,41_mbps,45_mbps,48_mbps,49_mbps,50_mbps,51_mbps,55_mbps,60_mbps,61_mbps,65_mbps,66_mbps,70_mbps,75_mbps,80_mbps,85_mbps,90_mbps,95_mbps,98_mbps,100_mbps,105_mbps,110_mbps,120_mbps,122_mbps,125_mbps,130_mbps,140_mbps,150_mbps,155_mbps,160_mbps,164_mbps,165_mbps,200_mbps,205_mbps,212_mbps,220_mbps,225_mbps,240_mbps,246_mbps,250_mbps,256_mbps,275_mbps,300_mbps,320_mbps,325_mbps,350_mbps,400_mbps,450_mbps,480_mbps,500_mbps,512_mbps,600_mbps,680_mbps,700_mbps,800_mbps,850_mbps,900_mbps,999_mbps,1000_mbps,1024_mbps,4000_mbps,10000_mbps,velocidad_promedio,cluster,pca1,pca2
567,buenos_aires,quilmes,quilmes,1.0,8.0,2.0,18.0,36.0,0.0,6.0,0.0,34.0,54.0,136.0,0.0,41.0,51.0,0.0,0.0,38.0,0.0,1241.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.0,0.0,0.0,1277.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,10100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18727.0,0.0,0.0,0.0,0.0,0.0,0.0,3093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444.0,0.0,0.0,0.0,608.7549019607843,2,22066.391889331055,11710.398652255091
748,catamarca,capital,san_fernando_del_valle_de_catamarca,0.0,1.0,0.0,0.0,103.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,22.0,468.0,0.0,0.0,0.0,0.0,1254.0,0.0,31.0,0.0,0.0,101.0,0.0,0.0,1042.0,0.0,0.0,0.0,914.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6879.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,604.9901960784314,2,27559.27498196528,-17353.428484055632
1582,jujuy,doctor_manuel_belgrano,san_salvador_de_jujuy_est_jujuy,0.0,2.0,1.0,0.0,147.0,0.0,0.0,0.0,380.0,0.0,422.0,0.0,0.0,906.0,0.0,0.0,0.0,0.0,1305.0,0.0,22758.0,0.0,0.0,100.0,0.0,0.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4381.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,601.3921568627451,2,17061.6340616582,-10907.024079254299
1749,la_rioja,capital,la_rioja,0.0,1.0,1.0,0.0,199.0,0.0,8.0,0.0,248.0,0.0,0.0,0.0,23.0,502.0,0.0,0.0,0.0,0.0,1050.0,0.0,495.0,0.0,0.0,262.0,0.0,0.0,4484.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3969.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,573.5,2,23763.237065341025,-16298.328244707986
198,buenos_aires,esteban_echeverria,monte_grande,0.0,10.0,3.0,19.0,10.0,0.0,55.0,0.0,5.0,76.0,127.0,0.0,23.0,130.0,126.0,0.0,47.0,0.0,525.0,0.0,127.0,0.0,0.0,89.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,25274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,987.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,3678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7223.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10801.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1734.0,0.0,0.0,0.0,529.343137254902,2,16476.856322271775,21890.56604835551
880,chubut,escalante,comodoro_rivadavia,0.0,10.0,30.0,468.0,70.0,0.0,882.0,0.0,947.0,4893.0,3057.0,0.0,13.0,11618.0,17.0,0.0,5661.0,21.0,477.0,0.0,4201.0,0.0,18.0,6227.0,0.0,0.0,453.0,0.0,0.0,0.0,4845.0,930.0,0.0,0.0,0.0,2406.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.5686274509804,2,3823.5236226297598,-895.6228011816643
1672,la_pampa,capital,santa_rosa,1.0,0.0,3.0,105.0,43.0,40.0,1.0,0.0,230.0,958.0,75.0,0.0,0.0,14510.0,0.0,0.0,419.0,0.0,2999.0,0.0,0.0,0.0,0.0,1882.0,0.0,0.0,2920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,509.53921568627453,2,12829.355032442127,-6641.129317430142
2332,san_juan,capital,san_juan,0.0,6.0,1.0,513.0,62.0,0.0,73.0,0.0,2918.0,6590.0,18.0,0.0,152.0,1714.0,0.0,0.0,3115.0,9.0,470.0,0.0,276.0,0.0,0.0,2672.0,0.0,0.0,821.0,0.0,0.0,0.0,627.0,46.0,0.0,0.0,0.0,10168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18125.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.4117647058824,2,12556.876716568479,16.497330959712272
322,buenos_aires,ituzaingo,ituzaingo_centro,0.0,19.0,3.0,62.0,12.0,0.0,62.0,0.0,4.0,215.0,0.0,0.0,31.0,124.0,0.0,0.0,131.0,0.0,681.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,22355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,796.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,4427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6646.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10819.0,0.0,0.0,0.0,0.0,0.0,0.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2226.0,0.0,0.0,0.0,502.7156862745098,2,16054.85738893032,19225.974477092543
426,buenos_aires,lomas_de_zamora,lomas_de_zamora,1.0,13.0,2.0,37.0,283.0,0.0,260.0,0.0,122.0,143.0,90.0,0.0,185.0,804.0,0.0,0.0,124.0,0.0,1140.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,10999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,7971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14969.0,0.0,0.0,0.0,0.0,0.0,0.0,2110.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.0,0.0,0.0,0.0,498.1078431372549,2,17813.415987935576,9496.428354751664
